Gene_ID,sp_num,root2tip_variance,tree_legnth,spTr_bipartition,aln_length,average_node_support,Rafflesiaceae_best_compositional_homogeneity_pvalue,stem_raff_branch_len,ancestor_of_stem_raff_bran_len,raff_placement_SHaLRT,raff_placement_UFBP
1461,34,0.0238833,5.05275,0.317073171,1164,65.81,74.36,0.321549466,0.08215652,94.3,82
2889,33,0.0367032,5.89606,0.146341463,1608,73.03,92.23,0.343313102,0.028701357,92.6,82
3060,28,0.00567709,2.93912,0.146341463,1852,66.41,64.11,0.260147151,0.019669303,92.8,82
51,27,0.0184017,5.77251,0.170731707,782,68,51.03,0.155478856,0.039807933,84.9,81
68,28,0.170731707,,,1218,69.62,99.32,0.35717131,0.051991804,95.2,81
158,29,0.0243889,4.08026,0.195121951,2061,74.04,57.1,0.480692957,0.024395648,94.2,81
541,29,0.0205568,3.27905,0.195121951,1181,71.22,5.09,0.333512274,0.060665831,90,81
881,29,0.0347702,5.29933,0.219512195,1882,68.15,0,,,87,81
933,33,0.016799,4.55935,0.317073171,1270,69.58,14.16,0.393708783,0.015376902,85.2,81
1218,33,0.0246328,4.33479,0.365853659,924,73.45,63.73,0.502863348,0.021985277,89,81
1289,30,0.0177419,4.41453,0.219512195,2187,60.25,62.3,0.199121705,0.115576975,75.3,81
1393,33,0.016627,5.22684,0.219512195,1170,65.61,2.32,0.343802594,0.023528229,86.1,81
1427,34,0.0143358,4.99932,0.268292683,972,71.22,55.64,0.335381778,0.033209194,88.7,81
1519,12,0.0337739,2.57321,0.097560976,750,73,8.98,0.411089865,0.027604204,67.9,81
1527,33,0.243902439,,,4143,65.26,77.54,0.031279627,0.021282659,78.4,81
1735,32,0.0301969,5.57611,0.317073171,1629,65.7,95.54,0.487455938,0.061858748,89.3,81
1919,33,0.0285402,5.31254,0.390243902,882,68.13,81.19,0.75107323,0.019098106,73.7,81
2004,34,0.0342378,6.79601,0.268292683,1282,70.97,44.85,0.458049846,0.043961836,88.3,81
2104,34,0.268292683,,,1236,69.06,24.64,0.228351498,0.036350989,85,81
2407,36,0.219512195,,,1346,63.38,78.43,0.207413044,0.131735749,98,81
2459,25,0.0131959,3.23281,0.146341463,3130,67.35,0.74,0.333222371,0.015792109,93.3,81
2468,28,0.195121951,,,1412,71.81,0.29,0.567407652,0.023059285,81.2,81
2500,35,0.01655,4.44184,0.317073171,2607,67.03,71.03,0.337550635,0.076257092,90.8,81
2609,36,0.0119773,4.78642,0.292682927,1620,71.71,4.59,0.377751077,0.034967714,91.3,81
2669,35,0.010185,3.7486,0.463414634,2915,73.3,9.88,0.289201902,0.032292364,95.1,81
2785,37,0.341463415,,,1290,81.09,5.86,0.918240682,0.016626631,79.5,81
2868,32,0.00957178,4.33605,0.292682927,2154,68.9,31.32,0.303901131,0.019879427,94.9,81
2991,39,0.365853659,,,780,71.14,26.26,0.214370837,0.031749085,87.1,81
4,28,0.0855606,4.78663,0.146341463,1267,64.73,83.43,0.211327037,0.028727917,73.1,80
600,33,0.0214573,4.83999,0.268292683,1339,74.45,37.87,0.416587249,0.050973157,69.3,80
1100,31,0.724182,9.25321,0.243902439,1070,64.66,80.17,0.274378441,0.021296526,90,80
1142,30,0.00624728,3.8382,0.243902439,498,63.82,0.3,,,50.9,80
1274,25,0.0110652,3.00491,0.170731707,2355,71.17,13.38,,,90.1,80
1325,34,0.0451424,5.87887,0.341463415,1755,67.84,59.64,0.529245037,0.018512565,93.3,80
1342,29,0.00877626,2.68635,0.243902439,1461,73.96,5.14,0.310831498,0.016042408,88.9,80
1650,36,0.0282717,6.19739,0.365853659,754,74.91,95.57,0.37771265,0.044285455,87.7,80
1937,36,0.016544,5.01461,0.317073171,1182,72,52.61,0.365497766,0.044120531,79.5,80
2018,36,0.341463415,,,3063,70.03,96.84,0.254129039,0.023164989,94,80
2030,37,0.0185442,6.59286,0.463414634,1376,74.74,98.15,0.42551517,0.036789053,94,80
2438,31,0.0277349,5.41712,0.365853659,681,72.66,61.94,0.512933375,0.058050689,84.5,80
2461,28,0.0102031,3.66218,0.292682927,1661,72.35,13.07,0.334083548,0.036969984,86.1,80
2698,29,0.0331609,2.67556,0.317073171,1483,69.68,4.87,0.376632606,0.04152847,94.2,80
2709,35,0.0113405,3.84368,0.268292683,1941,69.18,12.93,0.242208721,0.050848668,63.6,80
2792,37,0.292682927,,,1344,70.49,45.71,0.223284935,0.02969761,88.9,80
3046,29,0.00550328,2.78073,0.243902439,1077,73.43,99.68,0.23515282,0.018746838,91.5,80
46,29,0.0266259,5.755,0.195121951,2082,70.56,11.42,0.518771638,0.049448042,96,79
171,29,0.0248642,4.5238,0.219512195,2570,70.63,37.15,0.413851428,0.042077196,89.6,79
665,30,0.0163379,4.87617,0.268292683,1669,79.64,16.76,0.497482919,0.036133431,93.5,79
680,28,0.0112168,5.55288,0.170731707,1230,69.88,53.59,0.361574816,0.059222828,91.2,79
931,31,0.243902439,,,901,65.21,5.09,0.616206941,0.035369355,74,79
1092,30,0.00916904,6.23142,0.292682927,729,72.86,76.53,0.3390165,0.044648028,94.4,79
1120,33,0.0150136,5.5259,0.292682927,1315,68.71,31.12,0.379557981,0.036703773,91.2,79
1848,35,0.0202277,4.68178,0.365853659,1629,74.42,10.33,0.434096857,0.054926154,88.3,79
1908,36,0.0034312,3.44052,0.268292683,1626,79.26,97.47,0.187141057,0.022867088,83.9,79
2147,26,0.0222612,4.88414,0.195121951,1246,71.54,56.32,0.492105522,0.025320315,83.8,79
2617,38,0.040551,7.00407,0.536585366,824,71.28,86.5,0.60558402,0.073394928,85.7,79
2782,39,0.00556755,4.83228,0.390243902,1506,62.03,96.17,0.214135444,0.053209312,89.6,79
2798,37,0.0113885,5.5662,0.219512195,457,71.92,53.85,0.370657125,0.070958305,85.5,79
2884,40,0.0220471,6.26538,0.43902439,1852,74.82,60.86,0.246055201,0.027499629,94.5,79
3032,41,0.0194921,5.35636,0.43902439,792,69.95,95.29,0.381800968,0.017218869,83.8,79
471,30,0.0110265,3.92882,0.195121951,1794,76.82,25.15,0.323247874,0.023239988,90.4,78
488,28,0.0105538,4.06583,0.170731707,3642,70.62,0,0.25232592,0.046003676,83.8,78
628,30,0.0226524,5.57502,0.243902439,787,67.79,45.72,0.329539074,0.08103411,93.5,78
953,29,0.00911569,3.91677,0.195121951,978,65.21,51.52,0.376515991,0.022480063,70.2,78
979,32,0.031471,6.27202,0.219512195,1045,64.07,35.43,0.327937945,0.062813395,86.6,78
1044,31,0.0167291,5.24645,0.243902439,1806,66.76,63.21,0.372400752,0.012362478,86.5,78
1345,35,0.0123414,5.68896,0.414634146,1613,78.55,93.69,0.374540016,0.036808602,90.8,78
1997,32,0.00496641,4.35165,0.170731707,990,68.3,97.78,0.211875011,0.032175006,92.8,78
2107,31,0.0450261,4.89333,0.365853659,2624,76,3.36,0.618968115,0.031746341,95.8,78
2252,34,0.317073171,,,690,67.41,79.7,0.404404567,0.009122618,50.6,78
2260,36,0.00694729,3.8122,0.365853659,3062,74.59,95.19,0.243211571,0.028599034,96.4,78
2396,36,0.00844587,4.742,0.268292683,1644,68.85,50.45,0.308358567,0.039019346,90.3,78
2440,36,0.00550823,3.76092,0.243902439,408,65.54,89.29,0.197542218,0.043351977,81.1,78
2552,11,0.0834127,3.09998,0.024390244,945,60.3,10.76,0.593528203,0.03448158,74.4,78
2588,35,0.0129806,5.5839,0.243902439,490,61,97.04,0.359853714,0.029208583,83.6,78
3003,35,0.170731707,,,483,54.44,58.82,0.284890443,0.025215233,78.2,78
3077,24,0.0121283,4.21049,0.146341463,2989,72.55,52.42,0.354195069,0.048707107,78.1,78
